0|EAC4468893_1|1|1|emrC_Lis|emrC_Lis||1|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|multidrug_efflux_transporter_outer_membrane_subunit_EmrC	QUATERNARY AMMONIUM
1592123251|WP_132038428_1|1|1|blaADC-235|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-235	BETA-LACTAM
1592712056|WP_132586462_1|1|1|dfrA37|dfrA37|insensitivity|2|TRIMETHOPRIM|TRIMETHOPRIM|trimethoprim-resistant_dihydrofolate_reductase_DfrA37	TRIMETHOPRIM
1592761878|WP_132629969_1|1|1|aac(6_)-Ib-AKT|aac(6_)-Ib-AKT|acetyltransferase|2|AMIKACIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1592856375|WP_132710363_1|1|1|blaPDC-443|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-443	BETA-LACTAM
1593270718|WP_132995818_1|1|1|blaROB-11|blaROB|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|broad-spectrum_class_A_beta-lactamase_ROB-11	BETA-LACTAM
1597685933|WP_133452685_1|1|1|blaPDC-433|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-433	BETA-LACTAM
159796256|ABX00624_1|1|1|lmrC_abcf|lmrC_abcf|target_protection|1|FOSFOMYCIN|FOSFOMYCIN|ABC-F_type_ribosomal_protection_protein_LmrC	FOSFOMYCIN
159885585|BAF92845_1|1|1|tir|tir||1|||type_III_secretion_system_LEE_translocated_intimin_receptor_Tir	VIRULENCE
1601567023|WP_133963898_1|1|1|blaNDM-16b|blaNDM|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_NDM-16b	BETA-LACTAM
1601575630|WP_133972424_1|1|1|blaADC-194|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-194	BETA-LACTAM
1601577124|WP_133973918_1|1|1|blaOXA-822|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-822	BETA-LACTAM
1601828245|WP_134216345_1|1|1|blaCMY-181|blaCMY|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_CMY-181	BETA-LACTAM
1603599077|WP_134254706_1|1|1|blaPDC-319|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-319	BETA-LACTAM
1603613714|WP_134265631_1|1|1|blaPDC-402|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-402	BETA-LACTAM
1603975784|WP_134450540_1|1|1|blaPDC-408|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-408	BETA-LACTAM
1604226991|WP_134600670_1|1|1|blaPDC-423|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|inhibitor-resistant_class_C_beta-lactamase_PDC-423	BETA-LACTAM
1604313268|WP_134628915_1|1|1|aac(6_)-Ib-G|aac(6_)-Ib-G|acetyltransferase|2|GENTAMICIN|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1604908335|WP_134696937_1|1|1|blaOXA-1153|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-1153	BETA-LACTAM
1609427440|WP_135350920_1|1|1|blaGES-41|blaGES|hydrolase|2|||carbapenem-hydrolyzing_class_A_beta-lactamase_GES-41	BETA-LACTAM
16118479|AAL14441_1|1|1|adeC|adeC|efflux|1|EFFLUX|EFFLUX|multidrug_efflux_RND_transporter_AdeABC_outer_membrane_channel_subunit_AdeC	EFFLUX
161511882|CAP17609_1|1|1|stxA2l|stxA2l||1|STX2L|STX2|Shiga_toxin_Stx2l_subunit_A	VIRULENCE
161511883|CAP17610_1|1|1|stxB2e|stxB2e||1|STX2E|STX2|Shiga_toxin_Stx2e_subunit_B	VIRULENCE
1620969597|WP_136026639_1|1|1|blaLEN-39|blaLEN|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_LEN-39	BETA-LACTAM
1620977187|WP_136034107_1|1|1|blaOKP-C-1|blaOKP-C|hydrolase|2|BETA-LACTAM|BETA-LACTAM|broad-spectrum_class_A_beta-lactamase_OKP-C-1	BETA-LACTAM
1620995168|WP_136049560_1|1|1|blaLEN-40|blaLEN|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_LEN-40	BETA-LACTAM
1621035936|WP_136086342_1|1|1|blaLEN-38|blaLEN|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_LEN-38	BETA-LACTAM
1625655374|WP_136512051_1|1|1|blaACT-68|blaACT|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-68	BETA-LACTAM
1625655375|WP_136512052_1|1|1|blaADC-109|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-109	BETA-LACTAM
1625655376|WP_136512053_1|1|1|blaADC-110|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-110	BETA-LACTAM
1625655377|WP_136512054_1|1|1|blaADC-112|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-112	BETA-LACTAM
1625655378|WP_136512055_1|1|1|blaADC-113|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-113	BETA-LACTAM
1625655379|WP_136512056_1|1|1|blaADC-187|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-187	BETA-LACTAM
1625655380|WP_136512057_1|1|1|blaADC-188|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-188	BETA-LACTAM
1625655381|WP_136512058_1|1|1|blaADC-189|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-189	BETA-LACTAM
1625655382|WP_136512059_1|1|1|blaADC-190|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-190	BETA-LACTAM
1625655383|WP_136512060_1|1|1|blaADC-192|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-192	BETA-LACTAM
1625655384|WP_136512061_1|1|1|blaADC-24|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-24	BETA-LACTAM
1625655385|WP_136512062_1|1|1|blaADC-65|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-65	BETA-LACTAM
1625655386|WP_136512063_1|1|1|blaADC-66|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-66	BETA-LACTAM
1625655387|WP_136512064_1|1|1|blaCTX-M-225|blaCTX-M|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_CTX-M-225	BETA-LACTAM
1625655388|WP_136512065_1|1|1|blaCTX-M-226|blaCTX-M|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_CTX-M-226	BETA-LACTAM
1625655389|WP_136512066_1|1|1|blaFRI-7|blaFRI|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_A_beta-lactamase_FRI-7	BETA-LACTAM
1625655390|WP_136512067_1|1|1|blaIMI-18|blaIMI|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_A_beta-lactamase_IMI-18	BETA-LACTAM
1625655391|WP_136512068_1|1|1|blaIMP-39|blaIMP|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_IMP-39	BETA-LACTAM
1625655392|WP_136512069_1|1|1|blaIMP-46|blaIMP|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_IMP-46	BETA-LACTAM
1625655393|WP_136512070_1|1|1|blaKPC-42|blaKPC|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_A_beta-lactamase_KPC-42	BETA-LACTAM
1625655394|WP_136512071_1|1|1|blaKPC-43|blaKPC|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_A_beta-lactamase_KPC-43	BETA-LACTAM
1625655395|WP_136512072_1|1|1|blaNDM-28|blaNDM|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_NDM-28	BETA-LACTAM
1625655396|WP_136512073_1|1|1|blaOXA-114k|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114k	BETA-LACTAM
1625655397|WP_136512074_1|1|1|blaOXA-114n|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114n	BETA-LACTAM
1625655398|WP_136512075_1|1|1|blaOXA-114q|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114q	BETA-LACTAM
1625655399|WP_136512076_1|1|1|blaOXA-114r|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114r	BETA-LACTAM
1625655400|WP_136512077_1|1|1|blaOXA-114s|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114s	BETA-LACTAM
1625655401|WP_136512078_1|1|1|blaOXA-114t|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114t	BETA-LACTAM
1625655402|WP_136512079_1|1|1|blaOXA-114u|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114u	BETA-LACTAM
1625655403|WP_136512080_1|1|1|blaOXA-114v|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114v	BETA-LACTAM
1625655404|WP_136512081_1|1|1|blaOXA-114w|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114w	BETA-LACTAM
1625655405|WP_136512082_1|1|1|blaOXA-114x|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114x	BETA-LACTAM
1625655406|WP_136512083_1|1|1|blaOXA-787|blaOXA-364_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-364_family_class_D_beta-lactamase_OXA-787	BETA-LACTAM
1625655407|WP_136512084_1|1|1|blaOXA-788|blaOXA-48_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-788	BETA-LACTAM
1625655408|WP_136512085_1|1|1|blaOXA-793|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-793	BETA-LACTAM
1625655409|WP_136512086_1|1|1|blaOXA-794|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-794	BETA-LACTAM
1625655410|WP_136512087_1|1|1|blaOXA-795|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-795	BETA-LACTAM
1625655411|WP_136512088_1|1|1|blaOXA-797|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-797	BETA-LACTAM
1625655412|WP_136512089_1|1|1|blaOXA-798|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-798	BETA-LACTAM
1625655413|WP_136512090_1|1|1|blaOXA-799|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-799	BETA-LACTAM
1625655414|WP_136512091_1|1|1|blaOXA-800|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-800	BETA-LACTAM
1625655415|WP_136512092_1|1|1|blaOXA-801|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-801	BETA-LACTAM
1625655416|WP_136512093_1|1|1|blaOXA-802|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-802	BETA-LACTAM
1625655417|WP_136512094_1|1|1|blaOXA-803|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-803	BETA-LACTAM
1625655418|WP_136512095_1|1|1|blaOXA-804|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-804	BETA-LACTAM
1625655419|WP_136512096_1|1|1|blaOXA-805|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-805	BETA-LACTAM
1625655420|WP_136512097_1|1|1|blaOXA-806|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-806	BETA-LACTAM
1625655421|WP_136512098_1|1|1|blaOXA-807|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-807	BETA-LACTAM
1625655422|WP_136512099_1|1|1|blaOXA-808|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-808	BETA-LACTAM
1625655423|WP_136512100_1|1|1|blaOXA-809|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-809	BETA-LACTAM
1625655424|WP_136512101_1|1|1|blaOXA-810|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-810	BETA-LACTAM
1625655425|WP_136512102_1|1|1|blaOXA-811|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-811	BETA-LACTAM
1625655426|WP_136512103_1|1|1|blaOXA-823|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-823	BETA-LACTAM
1625655427|WP_136512104_1|1|1|blaOXA-824|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-824	BETA-LACTAM
1625655428|WP_136512105_1|1|1|blaPER-13|blaPER|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_PER-13	BETA-LACTAM
1625655429|WP_136512106_1|1|1|blaVIM-48|blaVIM|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_VIM-48	BETA-LACTAM
1625655430|WP_136512107_1|1|1|blaVIM-55|blaVIM|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_VIM-55	BETA-LACTAM
1625655431|WP_136512108_1|1|1|blaVIM-63|blaVIM|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_VIM-63	BETA-LACTAM
1625655432|WP_136512109_1|1|1|blaVIM-66|blaVIM|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_VIM-66	BETA-LACTAM
1625655433|WP_136512110_1|1|1|mcr-1_16|mcr-1||2|COLISTIN|COLISTIN|phosphoethanolamine--lipid_A_transferase_MCR-1_16	COLISTIN
1625655434|WP_136512111_1|1|1|mcr-1_17|mcr-1||2|COLISTIN|COLISTIN|phosphoethanolamine--lipid_A_transferase_MCR-1_17	COLISTIN
1625655435|WP_136512112_1|1|1|mcr-3_29|mcr-3||2|COLISTIN|COLISTIN|phosphoethanolamine--lipid_A_transferase_MCR-3_29	COLISTIN
1632730106|WP_136828312_1|1|1|blaPDC-528|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-528	BETA-LACTAM
1635420641|WP_137138291_1|1|1|blaKBL-1|blaKBL|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_KBL-1	BETA-LACTAM
16417609|AAL18821_1|1|1|epeA|epeA||1|||serine_protease_autotransporter_EpeA	VIRULENCE
16418852|AAL19305_1|1|1|mdsB|mdsB|efflux|1|EFFLUX|EFFLUX|multidrug_efflux_RND_transporter_permease_subunit_MdsB	EFFLUX
16418853|AAL19306_1|1|1|mdsA|mdsA|efflux|1|EFFLUX|EFFLUX|multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_MdsA	EFFLUX
16418854|AAL19307_1|1|1|golT|golT||1|COPPER_GOLD|COPPER_GOLD|gold_copper-translocating_P-type_ATPase_GolT	STRESS
16418855|AAL19308_1|1|1|golS|golS||1|GOLD|GOLD|Au(I)_sensor_transcriptional_regulator_GolS	STRESS
16419559|AAL19978_1|1|1|sodC1|sodC1||1|||superoxide_dismutase__Cu-Zn__SodC1	VIRULENCE
16421061|AAL21411_1|1|1|sinH|sinH||1|||intimin-like_inverse_autotransporter_SinH	VIRULENCE
1644265|BAA13544_1|1|1|ystB|ystB||1|||ST-I_family_heat-stable_enterotoxin_YstB	VIRULENCE
164457616|BAF96525_1|1|1|espJ|espJ||1|||type_III_secretion_system_effector_ADP-ribosyltransferase_EspJ	VIRULENCE
164457631|BAF96538_1|1|1|nleB2|nleB2||1|||type_III_secretion_system_effector_arginine_glycosyltransferase_NleB2	VIRULENCE
164457634|BAF96541_1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA	VIRULENCE
16502954|CAD02120_1|1|1|cdtB_Salmo|cdtB_Salmo||1|||cytolethal_distending_toxin_S-CDT	VIRULENCE
1653492|BAA18405_1|1|1|acr3|acr3||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_Acr3	STRESS
1653494|BAA18407_1|1|1|arsC_thio|arsC_thio||1|ARSENATE|ARSENIC|thioredoxin-dependent_arsenate_reductase	STRESS
16565696|AAL26283_1|1|1|saa|saa||1|||autoagglutinating_adhesin_Saa	VIRULENCE
1657263|CAA65654_1|1|1|espB|espB||1|||type_III_secretion_system_LEE_translocon_pore-forming_subunit_EspB	VIRULENCE
166409297|BAG06666_1|1|1|set|set||1|||staphylococcal_enterotoxin_type_T	VIRULENCE
166409298|BAG06667_1|1|1|ses|ses||1|||staphylococcal_enterotoxin_type_S	VIRULENCE
1667932524|WP_138070341_1|1|1|msr(H)|msr(H)|target_protection|2|MACROLIDE|MACROLIDE|ABC-F_type_ribosomal_protection_protein_Msr(H)	MACROLIDE
1669863|AAC45964_1|1|1|stxA2e|stxA2e||1|STX2E|STX2|Shiga_toxin_Stx2e_subunit_A	VIRULENCE
1669864|AAC45965_1|1|1|stxB2e|stxB2e||1|STX2E|STX2|Shiga_toxin_Stx2e_subunit_B	VIRULENCE
1674381287|WP_138403314_1|1|1|blaPDC-322|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|inhibitor-resistant_class_C_beta-lactamase_PDC-322	BETA-LACTAM
168831012|ACA34793_1|1|1|tsh|tsh||1|||temperature-sensitive_protease_autotransporter_hemagglutinin_Tsh	VIRULENCE
168986458|BAG11995_1|1|1|tccP|tccP||1|||Tir-cytoskeleton_coupling_protein_TccP	VIRULENCE
168986462|BAG11997_1|1|1|tccP|tccP||1|||Tir-cytoskeleton_coupling_protein_TccP	VIRULENCE
168986470|BAG12001_1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	VIRULENCE
1690668477|WP_139462269_1|1|1|blaOXA-1162|blaOXA-12_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-12_family_class_D_beta-lactamase_OXA-1162	BETA-LACTAM
1692709724|WP_139847607_1|1|1|erm(53)|erm(53)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(53)	MACROLIDE
1693892789|WP_140423191_1|1|1|aac(6_)-Ib-generic|aac(6_)-Ib-generic|acetyltransferase|2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|AAC(6_)-Ib_family_aminoglycoside_6_-N-acetyltransferase	AMINOGLYCOSIDE
1693892901|WP_140423278_1|1|1|aadA1|aadA1|nucleotidyltransferase|2|||ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA1	AMINOGLYCOSIDE
1693892902|WP_140423279_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|||ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1693892903|WP_140423280_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|||ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1693892904|WP_140423281_1|1|1|aadA2|aadA2|nucleotidyltransferase|2|||ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA2	AMINOGLYCOSIDE
1693892905|WP_140423282_1|1|1|aadA5|aadA5|nucleotidyltransferase|2|||ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	AMINOGLYCOSIDE
1693892906|WP_140423283_1|1|1|dfrA1|dfrA1|insensitivity|2|||trimethoprim-resistant_dihydrofolate_reductase_DfrA1	TRIMETHOPRIM
1693892907|WP_140423284_1|1|1|dfrA12|dfrA12|insensitivity|2|||trimethoprim-resistant_dihydrofolate_reductase_DfrA12	TRIMETHOPRIM
1693892908|WP_140423285_1|1|1|dfrA17|dfrA17|insensitivity|2|||trimethoprim-resistant_dihydrofolate_reductase_DfrA17	TRIMETHOPRIM
1693892909|WP_140423286_1|1|1|dfrA17|dfrA17|insensitivity|2|||trimethoprim-resistant_dihydrofolate_reductase_DfrA17	TRIMETHOPRIM
1693892910|WP_140423287_1|1|1|dfrA17|dfrA17|insensitivity|2|||trimethoprim-resistant_dihydrofolate_reductase_DfrA17	TRIMETHOPRIM
1693892928|WP_140423305_1|1|1|blaADC-195|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-195	BETA-LACTAM
1693892929|WP_140423306_1|1|1|blaB-15|blaB|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_BlaB-15	BETA-LACTAM
1693892930|WP_140423307_1|1|1|blaCMY-164|blaCMY|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_CMY-164	BETA-LACTAM
1693892931|WP_140423308_1|1|1|blaFRI-8|blaFRI|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_A_beta-lactamase_FRI-8	BETA-LACTAM
1693892932|WP_140423309_1|1|1|blaFRI-9|blaFRI|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_A_beta-lactamase_FRI-9	BETA-LACTAM
1693892933|WP_140423310_1|1|1|blaIMI-19|blaIMI|hydrolase|2|||carbapenem-hydrolyzing_class_A_beta-lactamase_IMI-19	BETA-LACTAM
1693892934|WP_140423311_1|1|1|blaKPC-44|blaKPC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|inhibitor-resistant_extended-spectrum_class_A_beta-lactamase_KPC-44	BETA-LACTAM
1693892935|WP_140423312_1|1|1|blaOXA-643|blaOXA-211_fam|hydrolase|2|||OXA-211_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-643	BETA-LACTAM
1693892936|WP_140423313_1|1|1|blaOXA-644|blaOXA-211_fam|hydrolase|2|||OXA-211_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-644	BETA-LACTAM
1693892937|WP_140423314_1|1|1|blaOXA-645|blaOXA-211_fam|hydrolase|2|||OXA-211_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-645	BETA-LACTAM
1693892938|WP_140423315_1|1|1|blaOXA-647|blaOXA-134_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-134_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-647	BETA-LACTAM
1693892939|WP_140423316_1|1|1|blaOXA-648|blaOXA-134_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-134_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-648	BETA-LACTAM
1693892940|WP_140423317_1|1|1|blaOXA-650|blaOXA-211_fam|hydrolase|2|||OXA-211_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-650	BETA-LACTAM
1693892941|WP_140423318_1|1|1|blaOXA-825|blaOXA-143_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-143_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-825	BETA-LACTAM
1693892942|WP_140423319_1|1|1|blaOXA-826|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-826	BETA-LACTAM
1693892943|WP_140423320_1|1|1|blaOXA-827|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-827	BETA-LACTAM
1693892944|WP_140423321_1|1|1|blaOXA-828|blaOXA-51_fam|hydrolase|2|||OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-828	BETA-LACTAM
1693892945|WP_140423322_1|1|1|blaOXA-829|blaOXA-51_fam|hydrolase|2|||OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-829	BETA-LACTAM
1693892946|WP_140423323_1|1|1|blaOXA-831|blaOXA-51_fam|hydrolase|2|||OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-831	BETA-LACTAM
1693892947|WP_140423324_1|1|1|blaOXA-833|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-833	BETA-LACTAM
1693892948|WP_140423325_1|1|1|blaPDC-333|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-333	BETA-LACTAM
